id,date,compound,neg,neu,pos
https://openalex.org/W4323317522,2023,0.9896,0.021,0.816,0.163
https://openalex.org/W4323320303,2023,0.9678,0.033,0.829,0.137
https://openalex.org/W4323349910,2023,0.7269,0.101,0.761,0.138
https://openalex.org/W4323352171,2023,0.9904,0.037,0.802,0.161
https://openalex.org/W4323365478,2023,0.9622,0.044,0.874,0.082
https://openalex.org/W4323543466,2023,0.7783,0.009,0.955,0.037
https://openalex.org/W4323543610,2023,-0.9674,0.061,0.911,0.028
https://openalex.org/W4323544628,2023,-0.52,0.079,0.872,0.05
https://openalex.org/W4323568653,2023,0.9836,0.009,0.865,0.126
https://openalex.org/W4323669218,2023,0.9049,0.032,0.892,0.076
https://openalex.org/W4323774907,2023,-0.5279,0.079,0.849,0.072
https://openalex.org/W4323838293,2023,0.5423,0.108,0.747,0.146
https://openalex.org/W4323840574,2023,0.9823,0.0,0.78,0.22
https://openalex.org/W4323906687,2023,-0.5484,0.053,0.914,0.033
https://openalex.org/W4323923898,2023,0.9768,0.019,0.913,0.068
https://openalex.org/W4323924479,2023,0.9682,0.037,0.803,0.16
https://openalex.org/W4324026767,2023,0.9968,0.009,0.754,0.237
https://openalex.org/W4324027770,2023,0.994,0.009,0.848,0.143
https://openalex.org/W4324045817,2023,0.9934,0.006,0.821,0.173
https://openalex.org/W4324046871,2023,0.6865,0.072,0.814,0.114
https://openalex.org/W4324056430,2023,0.9423,0.011,0.906,0.083
https://openalex.org/W4324095523,2023,0.9553,0.026,0.853,0.121
https://openalex.org/W4324121257,2023,0.9792,0.021,0.786,0.193
https://openalex.org/W4324130164,2023,-0.9966,0.074,0.888,0.038
https://openalex.org/W4324130564,2023,0.9796,0.015,0.809,0.176
https://openalex.org/W4324132478,2023,0.8979,0.051,0.845,0.103
https://openalex.org/W4324139297,2023,0.3612,0.056,0.869,0.075
https://openalex.org/W4324143919,2023,0.699,0.049,0.856,0.095
https://openalex.org/W4324327999,2023,0.9061,0.031,0.9,0.07
https://openalex.org/W4324350304,2023,-0.9995,0.133,0.819,0.048
https://openalex.org/W4324387160,2023,0.6486,0.054,0.851,0.095
https://openalex.org/W4324387300,2023,0.4785,0.075,0.844,0.081
https://openalex.org/W4324387640,2023,0.9074,0.0,0.933,0.067
https://openalex.org/W4327546105,2023,0.9571,0.0,0.884,0.116
https://openalex.org/W4327556289,2023,0.34,0.097,0.791,0.113
https://openalex.org/W4327584445,2023,-0.796,0.061,0.888,0.051
https://openalex.org/W4327618754,2023,1.0,0.04,0.809,0.151
https://openalex.org/W4327652749,2023,-0.4404,0.073,0.858,0.069
https://openalex.org/W4327727631,2023,0.9311,0.07,0.846,0.084
https://openalex.org/W4327745936,2023,0.9963,0.081,0.824,0.094
https://openalex.org/W4327793953,2023,-0.7964,0.047,0.909,0.044
https://openalex.org/W4327814722,2023,0.926,0.038,0.833,0.129
https://openalex.org/W4327863132,2023,0.3086,0.068,0.857,0.075
https://openalex.org/W4327884548,2023,0.9537,0.059,0.856,0.084
https://openalex.org/W4327894047,2023,0.658,0.068,0.852,0.08
https://openalex.org/W4327921262,2023,0.9976,0.015,0.917,0.068
https://openalex.org/W4327922450,2023,-0.2617,0.088,0.833,0.079
https://openalex.org/W4327939983,2023,0.985,0.03,0.889,0.081
https://openalex.org/W4327972578,2023,0.8652,0.032,0.903,0.065
https://openalex.org/W4327976324,2023,-0.8555,0.093,0.849,0.059
https://openalex.org/W4328049397,2023,0.9698,0.021,0.841,0.138
https://openalex.org/W4328051796,2023,0.8402,0.012,0.924,0.065
https://openalex.org/W4328121275,2023,0.9604,0.008,0.859,0.133
https://openalex.org/W4352984927,2023,0.9497,0.036,0.806,0.158
https://openalex.org/W4353041081,2023,0.5667,0.021,0.936,0.043
https://openalex.org/W4353045986,2023,0.4939,0.026,0.926,0.048
https://openalex.org/W4353049656,2023,0.9958,0.072,0.8,0.128
https://openalex.org/W4353094459,2023,0.9559,0.024,0.83,0.145
https://openalex.org/W4360603300,2023,-0.9948,0.124,0.827,0.048
https://openalex.org/W4360603684,2023,0.1027,0.024,0.94,0.036
https://openalex.org/W4360614656,2023,0.8872,0.027,0.898,0.076
https://openalex.org/W4360650131,2023,0.9907,0.017,0.775,0.208
https://openalex.org/W4360778436,2023,0.9552,0.062,0.795,0.143
https://openalex.org/W4360839313,2023,-0.9268,0.066,0.919,0.015
https://openalex.org/W4360841628,2023,-0.9772,0.171,0.808,0.021
https://openalex.org/W4360854793,2023,0.296,0.069,0.853,0.078
https://openalex.org/W4360856248,2023,0.9607,0.019,0.839,0.141
https://openalex.org/W4360945776,2023,0.9984,0.009,0.915,0.076
https://openalex.org/W4360948871,2023,0.9516,0.046,0.83,0.124
https://openalex.org/W4360981325,2023,0.9967,0.086,0.727,0.187
https://openalex.org/W4360992521,2023,-0.128,0.027,0.948,0.025
https://openalex.org/W4360997994,2023,0.9719,0.0,0.911,0.089
https://openalex.org/W4361005603,2023,0.9942,0.017,0.803,0.18
https://openalex.org/W4361013247,2023,0.5859,0.0,0.977,0.023
https://openalex.org/W4361187607,2023,-0.1531,0.05,0.908,0.042
https://openalex.org/W4361199884,2023,0.9217,0.0,0.912,0.088
https://openalex.org/W4361205413,2023,0.7269,0.044,0.865,0.091
https://openalex.org/W4361219537,2023,0.891,0.034,0.89,0.076
https://openalex.org/W4361225817,2023,-0.8068,0.102,0.823,0.075
https://openalex.org/W4361251882,2023,0.9995,0.043,0.872,0.085
https://openalex.org/W4361278440,2023,0.9097,0.032,0.866,0.102
https://openalex.org/W4361285726,2023,0.9513,0.021,0.858,0.122
https://openalex.org/W4361294150,2023,0.9898,0.008,0.821,0.17
https://openalex.org/W4361761118,2023,0.8885,0.042,0.856,0.102
https://openalex.org/W4361837235,2023,0.9982,0.033,0.847,0.12
https://openalex.org/W4361853262,2023,-0.9851,0.166,0.757,0.077
https://openalex.org/W4361853544,2023,0.9815,0.01,0.907,0.083
https://openalex.org/W4362459075,2023,0.9999,0.023,0.847,0.13
https://openalex.org/W4362467953,2023,0.1901,0.029,0.929,0.042
https://openalex.org/W4362468850,2023,0.9755,0.035,0.848,0.117
https://openalex.org/W4362473390,2023,0.9926,0.008,0.808,0.184
